kode_pum,kode_bps,nama
11.09.07.2008,1101010001,Latiung
11.09.07.2011,1101010002,Labuhan Bajau
11.09.07.2002,1101010003,Suak Lamatan
11.09.07.2013,1101010004,Ana Ao
11.09.07.2014,1101010005,Lataling
11.09.07.2015,1101010006,Pulau Bangkalak
11.09.07.2007,1101010007,Badegong
11.09.07.2006,1101010008,Kebun Baru
11.09.07.2005,1101010009,Ulul Mayang
11.09.07.2009,1101010010,Pasir Tinggi
11.09.07.2010,1101010011,Labuhan Jaya
11.09.07.2016,1101010012,Labuhan Bakti
11.09.07.2004,1101010013,Batu Ralang
11.09.07.2003,1101010014,Alus Alus
11.09.07.2001,1101010015,Seneubuk
11.09.07.2012,1101010016,Blang Sebel
11.09.07.2019,1101010017,Trans Baru
11.09.07.2018,1101010018,Trans Meranti
11.09.07.2017,1101010019,Trans Jernge
11.09.04.2024,1101020022,Air Pinang
11.09.04.2022,1101020023,Kuala Makmur
11.09.04.2021,1101020024,Ganting
11.09.04.2028,1101020025,Linggi
11.09.04.2019,1101020026,Lugu
11.09.04.2017,1101020027,Sinabang
11.09.04.2015,1101020028,Suka Maju
11.09.04.2016,1101020029,Suka Karya
11.09.04.2014,1101020030,Suka Jaya
11.09.04.2012,1101020031,Air Dingin
11.09.04.2026,1101020032,Kota Batu
11.09.04.2009,1101020035,Suak Buluh
11.09.04.2023,1101020036,Ujung Tinggi
11.09.04.2025,1101020037,Pulau Siumat
11.09.04.2020,1101020038,Sefoyan
11.09.04.2018,1101020039,Amaiteng Mulia
11.09.04.2013,1101020040,Ameria Bahagia
11.09.03.2016,1101021001,Sital
11.09.03.2015,1101021002,Leubang
11.09.03.2014,1101021003,Leubang Hulu
11.09.03.2004,1101021004,Awe Seubal
11.09.03.2013,1101021005,Lantik
11.09.03.2011,1101021006,Awe Kecil
11.09.03.2009,1101021007,Salur
11.09.03.2008,1101021008,Salur Latun
11.09.03.2007,1101021009,Salur Lasengalu
11.09.03.2018,1101021010,Nancala
11.09.03.2017,1101021011,Maudil
11.09.03.2006,1101021012,Inor
11.09.03.2012,1101021013,Naibos
11.09.03.2005,1101021014,Laayon
11.09.03.2003,1101021015,Angkeo
11.09.03.2002,1101021016,Bunon
11.09.03.2001,1101021017,Silengas
11.09.03.2010,1101021018,Pulau Teupah
11.09.09.2005,1101022001,Kahad
11.09.09.2004,1101022002,Busung Indah
11.09.09.2008,1101022003,Nancawa
11.09.09.2009,1101022004,Labuah
11.09.09.2007,1101022005,Abail
11.09.09.2006,1101022006,Simpang Abail
11.09.09.2003,1101022007,Lanting
11.09.09.2002,1101022008,Lasikin
11.09.09.2001,1101022009,Matanurung
11.09.09.2010,1101022010,Sua-sua
11.09.09.2011,1101022011,Batu-batu
11.09.09.2012,1101022012,Situbuk
11.09.01.2013,1101030001,Dihit
11.09.01.2023,1101030002,Lauke
11.09.01.2012,1101030003,Lambaya
11.09.01.2011,1101030004,Lakubang
11.09.01.2008,1101030005,Kampung Aie
11.09.01.2009,1101030006,Lauree
11.09.01.2016,1101030007,Latitik
11.09.01.2010,1101030008,Lamayang
11.09.01.2007,1101030009,Wel Wel
11.09.01.2024,1101030020,Situfa Jaya
11.09.01.2022,1101030021,Putra Jaya
11.09.01.2021,1101030022,Luan Sorep
11.09.01.2020,1101030023,Suak Baru
11.09.01.2019,1101030024,Sebbe
11.09.01.2018,1101030025,Kuta Baru
11.09.01.2017,1101030026,Wellangkum
11.09.05.2005,1101031001,Kuala Bakti
11.09.05.2004,1101031002,Lugu Sebahak
11.09.05.2003,1101031003,Gunung Putih
11.09.05.2001,1101031004,Babussalam
11.09.05.2002,1101031005,Muara Aman
11.09.05.2008,1101031006,Luan Balu
11.09.05.2007,1101031007,Sambay
11.09.05.2010,1101031008,Kuala Baru
11.09.05.2009,1101031009,Tanjung Raya
11.09.05.2006,1101031010,Bulu Hadik
11.09.10.2001,1101032001,Bubuhan
11.09.10.2002,1101032002,Amarabu
11.09.10.2003,1101032003,Kuta Inang
11.09.10.2004,1101032004,Kuta Padang
11.09.10.2006,1101032005,Latak Ayah
11.09.10.2005,1101032006,Sibuluh
11.09.10.2007,1101032007,Borengan
11.09.10.2008,1101032008,Ujung Padang
11.09.02.2001,1101040001,Ujung Salang
11.09.02.2002,1101040002,Padang Unoi
11.09.02.2004,1101040003,Meunafa
11.09.02.2003,1101040004,Nasreuhe
11.09.02.2005,1101040005,Along
11.09.02.2006,1101040006,Panton Lawe
11.09.02.2007,1101040007,Mutiara
11.09.02.2009,1101040008,Karya Bakti
11.09.02.2008,1101040009,Tamon Jaya
11.09.02.2010,1101040010,Jaya Baru
11.09.02.2011,1101040011,Tameng
11.09.02.2012,1101040012,Lalla Bahagia
11.09.02.2013,1101040013,Suak Manang
11.09.02.2016,1101040014,Bunga
11.09.02.2014,1101040015,Ganang Pusako
11.09.02.2015,1101040016,Kenangan Jaya
11.09.06.2013,1101050007,Sanggiran
11.09.06.2009,1101050008,Amabaan
11.09.06.2010,1101050009,Miteum
11.09.06.2007,1101050010,Malasin
11.09.06.2005,1101050011,Lamamek
11.09.06.2003,1101050012,Sigulai
11.09.06.2002,1101050013,Sembilan
11.09.06.2001,1101050014,Layabaung
11.09.06.2014,1101050015,Lhok Makmur
11.09.06.2012,1101050016,Ujung Harapan
11.09.06.2011,1101050017,Lhok Bikhau
11.09.06.2008,1101050018,Babul Makmur
11.09.06.2006,1101050019,Batu Ragi
11.09.06.2004,1101050020,Sinar Bahagia
11.09.08.2008,1101051001,Lafakha
11.09.08.2007,1101051002,Lhok Dalam
11.09.08.2006,1101051003,Lubuk Baik
11.09.08.2005,1101051004,Langi
11.09.08.2004,1101051005,Serafon
11.09.08.2003,1101051006,Lhok Pauh
11.09.08.2002,1101051007,Lamerem
11.09.08.2001,1101051008,Lewak
11.10.01.2002,1102010003,Pulau Baguk
11.10.01.2001,1102010004,Pulau Balai
11.10.01.2004,1102010005,Teluk Nibung
11.10.16.2002,1102011001,Asantola
11.10.16.2003,1102011002,Ujung Sialit
11.10.16.2001,1102011003,Haloban
11.10.16.2004,1102011004,Suka Makmur
11.10.04.2003,1102020003,Pulo Sarok
11.10.04.2001,1102020004,Pasar
11.10.04.2002,1102020005,Ujung
11.10.04.2005,1102020006,Kuta Simboling
11.10.04.2004,1102020007,Kilangan
11.10.04.2007,1102020009,Teluk Ambun
11.10.04.2008,1102020010,Rantau Gedang
