kode_pum,kode_bps,nama
11.09.07,1101010,Teupah Selatan
11.09.04,1101020,Simeulue Timur
11.09.03,1101021,Teupah Barat
11.09.09,1101022,Teupah Tengah
11.09.01,1101030,Simeulue Tengah
11.09.05,1101031,Teluk Dalam
11.09.10,1101032,Simeulue Cut
11.09.02,1101040,Salang
11.09.06,1101050,Simeulue Barat
11.09.08,1101051,Alafan
11.10.01,1102010,Pulau Banyak
11.10.16,1102011,Pulau Banyak Barat
11.10.04,1102020,Singkil
11.10.10,1102021,Singkil Utara
11.10.14,1102022,Kuala Baru
11.10.02,1102030,Simpang Kanan
11.10.06,1102031,Gunung Meriah
11.10.11,1102032,Danau Paris
11.10.12,1102033,Suro Makmur
11.10.13,1102042,Singkohor
11.10.09,1102043,Kota Baharu
11.01.09,1103010,Trumon
11.01.16,1103011,Trumon Timur
11.01.18,1103012,Trumon Tengah
11.01.01,1103020,Bakongan
11.01.15,1103021,Bakongan Timur
11.01.17,1103022,Kota Bahagia
11.01.03,1103030,Kluet Selatan
11.01.14,1103031,Kluet Timur
11.01.02,1103040,Kluet Utara
11.01.10,1103041,Pasie Raja
11.01.13,1103042,Kluet Tengah
11.01.08,1103050,Tapaktuan
11.01.06,1103060,Samadua
11.01.07,1103070,Sawang
11.01.05,1103080,Meukek
11.01.04,1103090,Labuhanhaji
11.01.11,1103091,Labuhanhaji Timur
11.01.12,1103092,Labuhanhaji Barat
11.02.01,1104010,Lawe Alas
11.02.11,1104011,Babul Rahmah
11.02.15,1104012,Tanoh Alas
11.02.02,1104020,Lawe Sigala-gala
11.02.06,1104021,Babul Makmur
11.02.10,1104022,Semadam
11.02.16,1104023,Leuser
11.02.03,1104030,Bambel
11.02.09,1104031,Bukit Tusam
11.02.14,1104032,Lawe Sumur
11.02.04,1104040,Babussalam
11.02.08,1104041,Lawe Bulan
11.02.05,1104050,Badar
11.02.07,1104051,Darul Hasanah
11.02.12,1104052,Ketambe
11.02.13,1104053,Deleng Pokhkisen
11.03.05,1105080,Serbajadi
11.03.20,1105081,Simpang Jernih
11.03.24,1105082,Peunaron
11.03.04,1105090,Birem Bayeun
11.03.08,1105100,Rantau Selamat
11.03.19,1105101,Sungai Raya
11.03.07,1105110,Peureulak
11.03.17,1105111,Peureulak Timur
11.03.18,1105112,Peureulak Barat
11.03.10,1105120,Ranto Peureulak
11.03.03,1105130,Idi Rayeuk
11.03.16,1105131,Peudawa
11.03.15,1105132,Banda Alam
11.03.14,1105133,Idi Tunong
11.03.21,1105134,Darul Ihsan
11.03.23,1105135,Idi Timur
11.03.01,1105140,Darul Aman
11.03.06,1105150,Nurussalam
11.03.22,1105151,Darul Falah
11.03.02,1105160,Julok
11.03.13,1105161,Indra Makmu
11.03.11,1105170,Pante Bidari
11.03.09,1105180,Simpang Ulim
11.03.12,1105181,Madat
11.04.01,1106010,Linge
11.04.18,1106011,Atu Lintang
11.04.19,1106012,Jagong Jeget
11.04.08,1106020,Bintang
11.04.17,1106031,Laut Tawar
11.04.11,1106032,Kebayakan
11.04.07,1106040,Pegasing
11.04.20,1106041,Bies
11.04.03,1106050,Bebesen
11.04.12,1106051,Kute Panang
11.04.02,1106060,Silih Nara
11.04.10,1106061,Ketol
11.04.13,1106062,Celala
11.04.21,1106063,Rusip Antara
11.05.01,1107050,Johan Pahlawan
11.05.05,1107060,Samatiga
11.05.06,1107061,Bubon
11.05.07,1107062,Arongan Lambalek
11.05.04,1107070,Woyla
11.05.10,1107071,Woyla Barat
11.05.11,1107072,Woyla Timur
11.05.02,1107080,Kaway Xvi
11.05.09,1107081,Meureubo
11.05.08,1107082,Pante Ceureumen
11.05.12,1107083,Panton Reu
11.05.03,1107090,Sungai Mas
11.06.01,1108010,Lhoong
11.06.02,1108020,Lhoknga
11.06.22,1108021,Leupung
11.06.03,1108030,Indrapuri
11.06.16,1108031,Kuta Cot Glie
11.06.04,1108040,Seulimeum
11.06.15,1108041,Kota Jantho
11.06.14,1108042,Lembah Seulawah
11.06.09,1108050,Mesjid Raya
11.06.12,1108060,Darussalam
11.06.20,1108061,Baitussalam
11.06.11,1108070,Kuta Baro
11.06.05,1108080,Montasik
11.06.23,1108081,Blang Bintang
11.06.10,1108090,Ingin Jaya
11.06.21,1108091,Krueng Barona Jaya
11.06.06,1108100,Sukamakmur
11.06.17,1108101,Kuta Malaka
11.06.18,1108102,Simpang Tiga
11.06.07,1108110,Darul Imarah
11.06.19,1108111,Darul Kamal
11.06.08,1108120,Peukan Bada
11.06.13,1108130,Pulo Aceh
11.07.05,1109010,Geumpang
11.07.27,1109011,Mane
11.07.06,1109070,Glumpang Tiga
